option_set_id,decision,products_mapped,native_products,globo_dependent_products,inactive_products,first_labels
769807,KEEP for now,1,0,1,0,Sign 1 | Text to appear in large | Text to appear beneath | **INCREDIBLE OFFER** Buy a second laser cut sign for just £19.95
769811,KEEP for now,1,0,1,0,Sign 1 | Text to appear in large | Year established | **INCREDIBLE OFFER** Buy a second laser cut sign for just £19.95
769814,KEEP for now,1,0,1,0,Sign 1 | Text to appear in large | **INCREDIBLE OFFER** Buy a second laser cut sign for just £24.95 | Sign 2
769817,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Choose pet | Message to appear on left side of heart
769826,KEEP for now,1,0,1,0,Plaque 1 | Colour of plaque | Name to appear after 'Cheers to' | Number of Characters (people/pets)
769843,KEEP for now,1,0,1,0,"Plaque 1 | Colour of plaque | Name to appear before 'Without us, you wouldn't need a beer' | Number of Characters (people/pets)"
769844,KEEP for now,1,0,1,0,Plaque 1 | Colour of plaque | Name to appear before 'Charging Station!' | Text to appear beneath '...Charging Station!'
769850,DELETE (no product still needs it),1,1,0,0,Group
769856,DELETE (no product still needs it),1,0,0,1,Bottle 1 | Name to appear before 'TIME' | Personalisation to appear at bottom | **INCREDIBLE OFFER** Buy a second one for just £16
769861,DELETE (no product still needs it),1,0,0,1,Bottle 1 | Name to appear before 'get your top off!' | **INCREDIBLE OFFER** Buy a second one for just £16 | Bottle 2
769864,KEEP for now,1,0,1,0,Bottle 1 | Name to appear before number | Number to appear below name | Personalisation to appear at bottom
769869,KEEP for now,1,0,1,0,Decoration 1 | Size of heart | Name to appear at the top | Name to appear at the bottom
903237,KEEP for now,1,0,1,0,Decoration 1 | Size of heart | Name to appear at the top | Name to appear at the bottom
769873,DELETE (no product still needs it),1,0,0,1,Decoration 1 | Size of heart | Name to appear at the top | **INCREDIBLE OFFER** Buy a second heart for just £5!
769874,KEEP for now,1,0,1,0,Plaque 1 | Colour of plaque | Initials to appear | Marriage title
769877,DELETE (no product still needs it),1,1,0,0,"Heart 1 | Number of pebble people (max 8 inc pets) | Size of heart | Now, personalise me..."
769881,DELETE (no product still needs it),1,1,0,0,Group
769885,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Message to appear on left side of heart | Message to appear on right side of heart
769887,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Names to appear on heart | **INCREDIBLE OFFER** Buy a second one for just £10.95
769889,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Tree colour |  Text to appear above pebble people
769905,KEEP for now,1,0,1,0,"Decoration 1 | Number of pebble people (max 8 inc pets) | Size of Decoration | Now, personalise me..."
769908,DELETE (no product still needs it),1,1,0,0,Heart 1 | No. of pebble characters  | Size of heart | Pebble 1
769917,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Number of babies | Basket colour
769924,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Number of angels | Message to appear on left side of heart
769928,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Number to appear in balloon | Message to appear on left side of heart
769929,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Moon & Stars Colour | Message to appear on left side of heart
769931,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Message to appear on left side of heart | Message to appear on right side of heart
769932,DELETE (no product still needs it),1,1,0,0,Heart 1 | Size of heart | Name to appear on top line | Message to appear beneath pebble
769939,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Colour of coaster | Name to appear before 'Drink' | **INCREDIBLE OFFER** Buy a second coaster for just £5.95
769963,DELETE (no product still needs it),1,0,0,1,Heart 1 | Size of heart | Colour of heart | Name to appear at the top
769967,DELETE (no product still needs it),1,0,0,1,Heart 1 | Size of heart | Colour of heart | **INCREDIBLE OFFER** Buy a second one for just £4.95
769971,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Colour of Coaster | Name to appear at top | **INCREDIBLE OFFER** Buy a second coaster for just £5.95!
769977,DELETE (no product still needs it),1,0,0,1,Coaster 1 | Teacher's name to appear at top of coaster | World's Best... | **INCREDIBLE OFFER** Buy a second one for just £5.95!
770020,DELETE (no product still needs it),1,0,0,0,Group
770031,KEEP for now,1,0,1,0,Group
770055,DELETE (no product still needs it),1,1,0,0,Group
770064,KEEP for now,1,0,1,0,Pebblescape 1 | No. of pebble characters (If you wish to have dogs/cats in your picture please include these in the total number of pebble characters!) | Size of pebblescape | Text to appear above pebble people
772442,DELETE (no product still needs it),1,1,0,0,Pebblescape 1 | No. of pebble characters (If you wish to have dogs/cats in your picture please include these in the total number of pebble characters!) | Size of pebblescape | Text to appear above pebble people
772445,KEEP for now,1,0,1,0,Pebblescape 1 | Size of Pebblescape | Colour of basket | Text to appear at top of picture
772490,KEEP for now,1,0,1,0,"Decoration 1 | Size of Decoration | Now, personalise me... | Text to appear at the top"
772498,KEEP for now,1,0,1,0,Decoration 1 | Text to appear at the top | Text to appear beneath stockings | No. of stockings
772525,KEEP for now,1,0,1,0,Board 1 | Message to appear | **INCREDIBLE OFFER** Buy a second one for just £10.95 | Board 2
772528,KEEP for now,1,0,1,0,Decoration 1 | Name and date to appear on robin | **INCREDIBLE OFFER** Buy a second one for just £4.95 | Decoration 2
